scene_name,img_id0,img_id1
0015/dense,3149,90
0015/dense,2841,2447
0015/dense,2921,659
0015/dense,2901,2400
0015/dense,2460,1855
0015/dense,870,2099
0015/dense,2131,3416
0015/dense,340,2109
0015/dense,2231,1302
0015/dense,872,1737
0015/dense,601,1128
0015/dense,2606,1308
0015/dense,2414,1010
0015/dense,49,1129
0015/dense,2922,722
0015/dense,2135,384
0015/dense,73,903
0015/dense,1623,2129
0015/dense,1191,1452
0015/dense,1530,1372
0015/dense,3120,2874
0015/dense,17,1333
0015/dense,59,913
0015/dense,98,2061
0015/dense,2491,3241
0015/dense,3035,895
0015/dense,654,998
0015/dense,213,1032
0015/dense,1572,1216
0015/dense,2438,3251
0015/dense,105,975
0015/dense,2839,1007
0015/dense,2246,177
0015/dense,3126,1353
0015/dense,104,1177
0015/dense,932,3262
0015/dense,2586,112
0015/dense,749,3246
0015/dense,331,2124
0015/dense,2566,1801
0015/dense,2340,1412
0015/dense,1763,1004
0015/dense,577,113
0015/dense,2005,1426
0015/dense,2927,725
0015/dense,2615,2280
0015/dense,3404,3416
0015/dense,876,2044
0015/dense,3413,1737
0015/dense,24,2124
0015/dense,2410,362
0015/dense,2928,1119
0015/dense,2885,1295
0015/dense,1289,1658
0015/dense,3287,1116
0015/dense,2811,1094
0015/dense,2710,432
0015/dense,2357,1624
0015/dense,2535,1354
0015/dense,2894,209
0015/dense,105,1774
0015/dense,2294,1032
0015/dense,1753,1098
0015/dense,173,1860
0015/dense,441,1573
0015/dense,3331,1866
0015/dense,1603,3211
0015/dense,1569,355
0015/dense,2528,21
0015/dense,3338,932
0015/dense,3021,600
0015/dense,2015,1116
0015/dense,1204,1719
0015/dense,1870,1757
0015/dense,2077,1033
0015/dense,2132,1336
0015/dense,3049,23
0015/dense,2926,806
0015/dense,1430,1519
0015/dense,950,1519
0015/dense,1602,143
0015/dense,3207,2888
0015/dense,2828,2094
0015/dense,2552,1480
0015/dense,729,1412
0015/dense,2507,1166
0015/dense,1224,1477
0015/dense,3381,3414
0015/dense,648,1392
0015/dense,3438,1088
0015/dense,3098,3215
0015/dense,326,1444
0015/dense,2561,1476
0015/dense,2140,1991
0015/dense,729,624
0015/dense,2368,782
0015/dense,611,90
0015/dense,3130,1954
0015/dense,652,1144
0015/dense,920,1692
0015/dense,633,165
0015/dense,1031,1421
0015/dense,3082,1035
0015/dense,605,1526
0015/dense,1544,1882
0015/dense,2995,2722
0015/dense,1810,1643
0015/dense,1552,182
0015/dense,2712,1940
0015/dense,3339,2006
0015/dense,2222,69
0015/dense,3446,1971
0015/dense,2401,660
0015/dense,1625,90
0015/dense,23,301
0015/dense,592,465
0015/dense,3064,1149
0015/dense,3171,3072
0015/dense,3140,782
0015/dense,770,2077
0015/dense,2429,1996
0015/dense,1764,1036
0015/dense,2238,700
0015/dense,931,783
0015/dense,1510,3442
0015/dense,454,990
0015/dense,530,454
0015/dense,1869,1537
0015/dense,3206,3317
0015/dense,771,406
0015/dense,3324,1362
0015/dense,2885,822
0015/dense,2185,398
0015/dense,2978,1365
0015/dense,2398,1428
0015/dense,2717,1951
0015/dense,1657,18
0015/dense,376,1783
0015/dense,2649,2616
0015/dense,3018,24
0015/dense,2619,1741
0015/dense,569,2191
0015/dense,463,904
0015/dense,691,2182
0015/dense,2340,2158
0015/dense,269,953
0015/dense,2998,201
0015/dense,23,1717
0015/dense,2979,3375
0015/dense,2863,239
0015/dense,514,342
0015/dense,1126,1249
0015/dense,2743,1869
0015/dense,3019,1033
0015/dense,3157,567
0015/dense,3236,1119
0015/dense,872,1352
0015/dense,1813,2065
0015/dense,2619,2543
0015/dense,3444,1913
0015/dense,2442,740
0015/dense,91,216
0015/dense,2423,697
0015/dense,3318,3310
0015/dense,763,1059
0015/dense,3397,1060
0015/dense,1783,1602
0015/dense,3000,1049
0015/dense,893,1151
0015/dense,1489,231
0015/dense,53,336
0015/dense,895,1871
0015/dense,904,289
0015/dense,950,295
0015/dense,180,1098
0015/dense,52,1844
0015/dense,647,209
0015/dense,2403,1544
0015/dense,3169,1127
0015/dense,1458,1679
0015/dense,2560,1130
0015/dense,1636,783
0015/dense,97,1497
0015/dense,2487,165
0015/dense,2885,1253
0015/dense,35,1462
0015/dense,691,2200
0015/dense,2280,1163
0015/dense,568,2112
0015/dense,262,1297
0015/dense,360,1126
0015/dense,1747,201
0015/dense,3171,1100
0015/dense,1552,2126
0015/dense,2331,3374
0015/dense,816,165
0015/dense,3287,1016
0015/dense,3331,816
0015/dense,3098,3038
0015/dense,2424,1077
0015/dense,556,342
0015/dense,2999,3339
0015/dense,975,1040
0015/dense,858,1951
0015/dense,2400,996
0015/dense,1130,1935
0015/dense,540,209
0015/dense,2562,1866
0015/dense,3066,2901
0015/dense,3122,1545
0015/dense,463,1604
0015/dense,2975,1572
0015/dense,3060,692
0015/dense,1011,1126
0015/dense,1128,1888
0015/dense,1289,1727
0015/dense,847,222
0015/dense,3056,2522
0015/dense,11,164
0015/dense,2348,1660
0015/dense,2437,3265
0015/dense,2372,122
0015/dense,2066,951
0015/dense,2772,289
0015/dense,514,62
0015/dense,3374,362
0015/dense,134,1655
0015/dense,2984,95
0015/dense,2201,950
0015/dense,2258,1485
0015/dense,2246,1150
0015/dense,2783,3355
0015/dense,2424,497
0015/dense,2066,969
0015/dense,267,2051
0015/dense,832,1374
0015/dense,884,659
0015/dense,697,592
0015/dense,95,951
0015/dense,2507,12
0015/dense,841,1347
0015/dense,3400,1912
0015/dense,743,3261
0015/dense,2542,3374
0015/dense,1744,1058
0015/dense,1801,1020
0015/dense,3117,2320
0015/dense,2549,1713
0015/dense,3394,828
0015/dense,219,1190
0015/dense,2907,2411
0015/dense,1782,3263
0015/dense,1168,1537
0015/dense,2523,2304
0015/dense,849,1107
0015/dense,2975,1493
0015/dense,755,444
0015/dense,3030,209
0015/dense,3309,1253
0015/dense,3009,1256
0015/dense,2402,1552
0015/dense,2500,660
0015/dense,92,289
0015/dense,3145,1601
0015/dense,3328,3426
0015/dense,2980,2182
0015/dense,2650,2627
0015/dense,3297,1007
0015/dense,699,1954
0015/dense,79,2148
0015/dense,878,140
0015/dense,616,485
0015/dense,55,1570
0015/dense,2931,2731
0015/dense,1965,1729
0015/dense,2885,484
0015/dense,2125,3339
0015/dense,2608,1867
0015/dense,3118,1625
0015/dense,2778,2077
0015/dense,3030,303
0015/dense,763,726
0015/dense,1954,1185
0015/dense,2444,364
0015/dense,2760,1295
0015/dense,3172,1422
0015/dense,2803,918
0015/dense,2655,1250
0015/dense,2639,2400
0015/dense,3424,1455
0015/dense,2614,931
0015/dense,2662,2016
0015/dense,2487,216
0015/dense,519,487
0015/dense,2522,999
0015/dense,2753,180
0015/dense,1787,1126
0015/dense,896,1898
0015/dense,3402,672
0015/dense,3157,2561
0015/dense,2263,1955
0015/dense,662,279
0015/dense,2731,1249
0015/dense,2438,1737
0015/dense,950,1006
0015/dense,3394,369
0015/dense,2916,2528
0015/dense,1004,1170
0015/dense,2351,482
0015/dense,484,796
0015/dense,3396,1205
0015/dense,2425,2283
0015/dense,1763,1427
0015/dense,2313,1819
0015/dense,2376,653
0015/dense,766,56
0015/dense,1023,1365
0015/dense,3152,127
0015/dense,767,1860
0015/dense,2231,939
0015/dense,2229,262
0015/dense,1753,187
0015/dense,2412,1683
0015/dense,1085,1167
0015/dense,1253,1696
0015/dense,859,1104
0015/dense,3206,205
0015/dense,3021,414
0015/dense,2975,1698
0015/dense,519,1037
0015/dense,2838,2722
0015/dense,2993,1033
0015/dense,483,1077
0015/dense,2753,74
0015/dense,2491,1219
0015/dense,2201,1109
0015/dense,2135,1299
0015/dense,654,1912
0015/dense,2980,3336
0015/dense,820,1782
0015/dense,2955,2534
0015/dense,2400,1252
0015/dense,2275,2005
0015/dense,22,294
0015/dense,2944,414
0015/dense,2325,273
0015/dense,3421,1427
0015/dense,2885,1037
0015/dense,2823,3426
0015/dense,3251,1923
0015/dense,2424,782
0015/dense,2446,1072
0015/dense,2360,457
0015/dense,3015,1271
0015/dense,2888,464
0015/dense,3038,2592
0015/dense,2273,932
0015/dense,3074,1295
0015/dense,2552,1786
0015/dense,2995,761
0015/dense,2993,100
0015/dense,3145,654
0015/dense,931,1302
0015/dense,465,2199
0015/dense,905,1148
0015/dense,272,978
0015/dense,3135,1845
0015/dense,2651,1301
0015/dense,3318,23
0015/dense,2268,2060
0015/dense,3123,512
0015/dense,3381,1717
0015/dense,445,234
0015/dense,522,267
0015/dense,3050,2494
0015/dense,3007,1340
0015/dense,2431,1404
0015/dense,514,301
0015/dense,540,172
0015/dense,2549,1151
0015/dense,1422,2065
0015/dense,2430,37
0015/dense,2223,3433
0015/dense,2839,841
0015/dense,189,289
0015/dense,2795,2581
0015/dense,1866,772
0015/dense,323,1411
0015/dense,1913,1393
0015/dense,2535,748
0015/dense,749,3370
0015/dense,736,1834
0015/dense,1834,1318
0015/dense,88,69
0015/dense,2348,584
0015/dense,558,1003
0015/dense,1542,165
0015/dense,359,1273
0015/dense,1576,3426
0015/dense,2355,1054
0015/dense,2918,3313
0015/dense,273,1722
0015/dense,925,3244
0015/dense,668,189
0015/dense,3341,1076
0015/dense,1378,1454
